series,season,round_number,event_date,event,circuit,session,driver,team,manufacturer,car_class,lap_number,lap_time_s,sector1_s,sector2_s,sector3_s,compound,tyre_manufacturer,tyre_life,fresh_tyre,stint,position,track_status,pit_in,pit_out,is_accurate,deleted,air_temp_c,track_temp_c,humidity_pct,pressure_mbar,rainfall,wind_speed_ms,wind_direction_deg,gap_ahead_s,gap_behind_s,mean_speed_kph,max_speed_kph,mean_throttle_pct,brake_fraction,mean_rpm,max_rpm,gear_changes,drs_fraction
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,1,87.83647913472609,27.23111283984301,32.53970373721529,28.065662557667792,MEDIUM,Pirelli,1.0,1,1,1,1,False,False,True,False,23.089623661252542,31.570101995847796,45.72586214463778,1009.0692876502701,False,2.2773520403106815,88.36263371862621,1.0489842050185199,2.135688700816006,209.91577368326864,323.2108284979958,64.13906391058359,0.17970748177536724,10490.389415279578,11665.578545271492,50,0.07197554520398311
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,2,88.0548992482234,27.291410838610357,32.50480993051804,28.258678479095003,MEDIUM,Pirelli,2.0,0,1,1,1,False,False,True,False,22.44747948866248,31.482602538596353,45.76490886892532,1009.9272485818984,False,2.1831383796390744,116.17011487057361,1.0113308986003307,1.9469864234494607,208.9723636633364,322.04449344793215,64.04296184388672,0.171911627605744,10537.91682104019,11719.24653246681,50,0.10934956590108959
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,3,87.94828632968257,27.266252969112905,32.5816306446348,28.10040271593487,MEDIUM,Pirelli,3.0,0,1,1,1,False,False,True,False,22.82491987017701,33.1044823536638,45.88829805041584,1011.2890740320324,False,2.52761603581237,136.5102541940405,1.011935402569658,2.035852960589278,207.88613766407698,327.00083309268484,67.52451942416943,0.16800711097894777,10409.68710974029,11857.668958367018,46,0.12365820534390412
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,4,88.11293104723865,27.318826676980756,32.56616865164279,28.2279357186151,MEDIUM,Pirelli,4.0,0,1,1,1,False,False,True,False,23.200174268250297,33.13007819336062,47.43852259165615,1009.7057060407933,False,2.331084437248587,159.62510888311687,1.0898763872100408,2.2145222007454133,208.6793234162914,320.3529444150315,64.4107152680259,0.18646903422573421,10140.985428057316,11753.683013504764,46,0.10805426148659822
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,5,88.46767185546456,27.41213752691683,32.72392817487094,28.331606153676788,MEDIUM,Pirelli,5.0,0,1,1,1,False,False,True,False,23.206821170171228,34.24881907735748,45.6727865797778,1009.8188443323703,False,2.4078560264750104,177.9984367958566,0.9802715772034277,1.9885932856848945,208.65819617906965,322.9769570639229,65.11283755405117,0.19166127776190223,10484.901505351152,11797.585638699007,48,0.10320260896573702
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,6,88.07947824878993,27.24357838877668,32.58027264572093,28.25562721429231,MEDIUM,Pirelli,6.0,0,1,1,1,False,False,True,False,22.998380131798513,34.5499646398004,46.583382354180415,1010.2460791935683,False,2.1772766886691284,204.77344039102744,1.2244756626486049,2.016827681858792,208.3321955934424,321.75211282711217,66.4108078921294,0.18493013291412355,10377.067211432251,11779.406966974679,48,0.12404925910241088
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,7,88.41724506324887,27.38360727529185,32.74354267463959,28.290095113317427,MEDIUM,Pirelli,7.0,0,1,1,1,False,False,True,False,22.689897250377893,34.625837757748535,45.920818681384155,1010.1339597286536,False,2.5088217121653686,215.56412302360712,0.9408971647143726,2.0881390176122308,208.62013861591214,319.00450741418587,63.737185058953884,0.18362839799188754,10123.28628456312,11884.660852148116,47,0.12513477005328535
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,8,88.63226010084684,27.47402648408251,32.78571874914816,28.37251486761616,MEDIUM,Pirelli,8.0,0,1,1,1,False,False,True,False,23.23369732530274,34.216543135324834,46.1309512075848,1008.5372715158319,False,2.115791264927128,255.99318999646763,1.1098586759756919,2.0457108068269814,207.2311591476567,322.89761917461664,64.41340719359391,0.173739269002798,10233.895730285349,11925.70693137144,47,0.10691824853587974
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,9,88.33063543008312,27.371238978135455,32.6733374576525,28.286058994295168,HARD,Pirelli,9.0,0,1,1,1,False,False,True,False,23.00399737907398,35.321515141231146,45.305596472297104,1008.7897311085683,False,2.418328684999437,263.5181515959768,1.165405754880043,2.032876678374828,206.60959625346365,320.891812424753,66.67465266515006,0.1940727219955653,10210.976840677444,11779.147815174872,47,0.07477961051345194
F1,2022,1,2022-03-15,Synthetic_GP_1,Synthetic_Ring,R,AAA,SYN-A,SYN-A,F1,10,88.2928204958961,27.366487257472887,32.63509575971611,28.291237478707103,HARD,Pirelli,10.0,0,1,1,1,False,False,True,False,22.992966824433548,35.32707566011769,46.07144184429261,1012.0032977829501,False,2.3119221318886027,293.6382733039753,0.9492895295461525,2.12916803563558,207.00456387610333,322.93241913046523,65.11770959447563,0.1749203902966278,10481.910736887927,11769.81323954661,47,0.10697112703657416
